label,kind,requested_label_radius,measured_time_norm,measured_euclidean_norm,dt_s,success,future_dT_K,future_max_dY,increment_dT_K,increment_max_dY,scaled_future,scaled_increment,gain_future,gain_increment,gain_T,gain_Y,gain_denominator_status
heldout_9,held_out,0.1,0.10000000000000003,0.17320508075688779,1e-06,True,0.01487603193754694,9.539440366246321e-07,0.003738105044249096,2.317565008819189e-06,0.000184355554294368,0.0002924629361765119,0.8395016311237093,1.3317912384205919,1.3356194631245488,0.5040389640784274,resolved
heldout_9,held_out,0.1,0.10000000000000003,0.17320508075688779,1e-05,True,0.012807244254418038,9.247558280245372e-07,0.0016693173611201928,2.288376800219094e-06,0.00016672867663034916,0.0002790798981011959,0.7592339515997517,1.2708487713676113,1.1498768466620741,0.4886166815741489,resolved
heldout_9,held_out,0.1,0.10000000000000003,0.17320508075688779,0.0001,True,0.003237351489133289,2.3580945113232943e-07,0.007900575404164556,1.5994304233268863e-06,4.22969395070626e-05,0.00022490020158362118,0.1926079734545035,1.024130174933758,0.29066014889012587,0.12459551808636238,resolved
heldout_10,held_out,0.3,0.3,0.5196152422706631,1e-07,True,0.03129116603804505,6.747239268689587e-07,0.006759077590686502,3.6020453419438603e-06,0.0003262894424966568,0.000484068865902436,0.6907896964528918,1.0248256345053688,1.2755198606588374,0.16715982616687056,resolved
heldout_10,held_out,0.3,0.3,0.5196152422706631,1e-06,True,0.0325505811460971,2.0863931159131877e-06,0.008018492698738555,5.013714530988089e-06,0.00040343018791132325,0.0006304983481409279,0.8541049165268396,1.3348325314901475,1.326857320604595,0.5168945352067504,resolved
heldout_10,held_out,0.3,0.3,0.5196152422706631,1e-05,True,0.02800777796710463,2.0253943842918343e-06,0.0034756895197460835,4.952715799366736e-06,0.00036484004621257956,0.0006019769230278278,0.7724054534177248,1.2744496197859658,1.1416793163453771,0.5017823730791351,resolved
heldout_10,held_out,0.3,0.3,0.5196152422706631,0.0001,True,0.0070658532677043695,5.148768255358593e-07,0.017466235179654177,3.442198240610761e-06,9.233217930965811e-05,0.00048329742421689045,0.19547711268287887,1.0231924098330916,0.2880249385561454,0.1275584238628013,resolved
heldout_11,held_out,0.6,0.6,1.0392304845413263,1e-07,True,0.035761487715262774,7.668576219310719e-07,0.007919252901956497,4.210879814781077e-06,0.0003716564336805735,0.000566864849566013,0.6704085177136627,1.0225331491722631,1.2844330907722878,0.15996677855220143,resolved
heldout_11,held_out,0.6,0.6,1.0392304845413263,1e-06,True,0.03728734263449951,2.3985924401115355e-06,0.009445107821193233,5.84261463296154e-06,0.000462529400032917,0.0007381835314229278,0.8343287546626041,1.3315645371747258,1.3392366986532007,0.5003472544722187,resolved
heldout_11,held_out,0.6,0.6,1.0392304845413263,1e-05,True,0.03209978958693682,2.3202237179331675e-06,0.004257554773630545,5.764245910783172e-06,0.00041806420973139355,0.0007041002702528309,0.7541206925427356,1.2700838078527334,1.1529171347838711,0.48399951055261425,resolved
heldout_11,held_out,0.6,0.6,1.0392304845413263,0.0001,True,0.008103086622213596,5.903881697411073e-07,0.01973914819109268,4.034410362591112e-06,0.00010588088756351889,0.0005679230017252296,0.19099211651660422,1.0244418857264797,0.291035783461642,0.12315518670987935,resolved
